Path;Name_German;Name_English;Season;Episode;EpisodeAll;IsExtra

SG1/Season1/S01E0102;Das Tor zum Universum & Kinder der Götter;The New Mission & Children of the Gods;1;1 & 2;1 & 2;0
SG1/Season1/S01E03;Der Feind in seinem Körper;The Enemy Within;1;3;3;0
SG1/Season1/S01E04;Verraten und verkauft;Emancipation;1;4;4;0
SG1/Season1/S01E05;Die Seuche;The Broca Divide;1;5;5;0
SG1/Season1/S01E06;Das Erste Gebot;The First Commandment;1;6;6;0
SG1/Season1/S01E07;Die Auferstehung;Cold Lazarus;1;7;7;0
SG1/Season1/S01E08;Die Macht Der Weisen;The Nox;1;8;8;0
SG1/Season1/S01E09;Die Auserwählten;Brief Candle;1;9;9;0
SG1/Season1/S01E10;Im Reich des Donnergottes;Thor’s Hammer;1;10;10;0
SG1/Season1/S01E11;Die Qualen des Tantalus;The Torment of Tantalus;1;11;11;0
SG1/Season1/S01E12;Blutsbande;Bloodlines;1;12;12;0
SG1/Season1/S01E13;Feuer und Wasser;Fire and Water;1;13;13;0
SG1/Season1/S01E14;Der Kuss der Göttin;Hathor;1;14;14;0
SG1/Season1/S01E15;Cassandra;Singularity;1;15;15;0
SG1/Season1/S01E16;Vergeltung;Cor-Ai;1;16;16;0
SG1/Season1/S01E17;Enigma;Enigma;1;17;17;0
SG1/Season1/S01E18;Im Ewigen Eis;Solitudes;1;18;18;0
SG1/Season1/S01E19;Übermenschen;Tin Man;1;19;19;0
SG1/Season1/S01E20;Die Invasion, Teil 1;There But for the Grace of God;1;20;20;0
SG1/Season1/S01E21;Die Invasion, Teil 2;Politics;1;21;21;0
SG1/Season1/S01E22;Die Invasion, Teil 3;Within the Serpent’s Grasp;1;22;22;0
SG1/Season1/S01XCOMMENT;;Short directors comment (English);1;0;0;1
SG1/Season1/S01XFINALCUT;;Final Cut (English);1;0;0;1

SG1/Season2/S02E01;Die Invasion, Teil 4;The Serpent’s Lair;2;1;23;0
SG1/Season2/S02E02;Freund oder Feind?;In the Line of Duty;2;2;24;0
SG1/Season2/S02E03;Zerstörerin der Welten;Prisoners;2;3;25;0
SG1/Season2/S02E04;Virtueller Alptraum;The Gamekeeper;2;4;26;0
SG1/Season2/S02E05;Der Sarkophag;Need;2;5;27;0
SG1/Season2/S02E06;Rückkehr des Thor;Thor’s Chariot;2;6;28;0
SG1/Season2/S02E07;Trojanische Kugel;Message in a Bottle;2;7;29;0
SG1/Season2/S02E08;Der verlorene Sohn;Family;2;8;30;0
SG1/Season2/S02E09;Sha’res Rückkehr;Secrets;2;9;31;0
SG1/Season2/S02E10;Insekten des Todes;Bane;2;10;32;0
SG1/Season2/S02E11;Die Tok’ra, Teil 1;The Tok’ra, Part 1;2;11;33;0
SG1/Season2/S02E12;Die Tok’ra, Teil 2;The Tok’ra, Part 2;2;12;34;0
SG1/Season2/S02E13;Geister;Spirits;2;13;35;0
SG1/Season2/S02E14;Das zweite Tor;Touchstone;2;14;36;0
SG1/Season2/S02E15;Die fünfte Spezies;The Fifth Race;2;15;37;0
SG1/Season2/S02E16;Das schwarze Loch;A Matter of Time;2;16;38;0
SG1/Season2/S02E17;Seelenwanderung;Holiday;2;17;39;0
SG1/Season2/S02E18;Der Sturz des Sonnengottes;Serpent’s Song;2;18;40;0
SG1/Season2/S02E19;Tödliche Klänge;One False Step;2;19;41;0
SG1/Season2/S02E20;Neue Feinde;Show and Tell;2;20;42;0
SG1/Season2/S02E21;1969;1969;2;21;43;0
SG1/Season2/S02E22;Die Höhle des Löwen, Teil 1;Out of Mind;2;22;44;0

SG1/Season3/S03E01;Die Höhle des Löwen, Teil 2;Into the Fire;3;1;45;0
SG1/Season3/S03E02;Seth;Seth;3;2;46;0
SG1/Season3/S03E03;Die Saat des Verrats;Fair Game;3;3;47;0
SG1/Season3/S03E04;Besessen;Legacy;3;4;48;0
SG1/Season3/S03E05;Die Lektion der Orbaner;Learning Curve;3;5;49;0
SG1/Season3/S03E06;Lebenslinien;Point of View;3;6;50;0
SG1/Season3/S03E07;Kopfgeldjäger;Deadman Switch;3;7;51;0
SG1/Season3/S03E08;Dämonen;Demons;3;8;52;0
SG1/Season3/S03E09;Regeln der Kriegsführung;Rules of Engagement;3;9;53;0
SG1/Season3/S03E10;Sha’res Tod;Forever in a Day;3;10;54;0
SG1/Season3/S03E11;Vergangenheit und Gegenwart;Past and Present;3;11;55;0
SG1/Season3/S03E12;Jolinars Erinnerungen;Jolinar’s Memories;3;12;56;0
SG1/Season3/S03E13;Apophis’ Rückkehr;The Devil you know;3;13;57;0
SG1/Season3/S03E14;Außerirdische auf dem Vormarsch;Foothold;3;14;58;0
SG1/Season3/S03E15;Die Tollan-Triade;Pretense;3;15;59;0
SG1/Season3/S03E16;Urgo;Urgo;3;16;60;0
SG1/Season3/S03E17;O’Neill und Laira;A Hundred Days;3;17;61;0
SG1/Season3/S03E18;O’Neill auf Abwegen;Shades of Grey;3;18;62;0
SG1/Season3/S03E19;Tödlicher Verrat;New Ground;3;19;63;0
SG1/Season3/S03E20;Harsesis’ Rettung;Maternal Instinct;3;20;64;0
SG1/Season3/S03E21;Der Kristallschädel;Crystal Skull;3;21;65;0
SG1/Season3/S03E22;Nemesis, Teil 1;Nemesis;3;22;66;0
SG1/Season3/S03X01;;Timeline to the future - Part 1 - Legacy of the Gate;3;0;0;1
SG1/Season3/S03X02;;Timeline to the future - Part 2 - Secrets of the Gate;3;0;0;1
SG1/Season3/S03X03;;Timeline to the future - Part 3 - Beyond the Gate;3;0;0;1

SG1/Season4/S04E01;Nemesis, Teil 2;Small Victories;4;1;67;0
SG1/Season4/S04E02;Die andere Seite der Medaille;The other Side;4;2;68;0
SG1/Season4/S04E03;Das Vermächtnis der Ataniker;Upgrades;4;3;69;0
SG1/Season4/S04E04;Shan'aucs Opfer;Crossroads;4;4;70;0
SG1/Season4/S04E05;Gipfeltreffen;Divide and Conquer;4;5;71;0
SG1/Season4/S04E06;Kein Ende in Sicht;Window of Opportunity;4;6;72;0
SG1/Season4/S04E07;Der Planet des Wassers;Watergate;4;7;73;0
SG1/Season4/S04E08;Die Unas;The first Ones;4;8;74;0
SG1/Season4/S04E09;Die Enkaraner;Scorched Earth;4;9;75;0
SG1/Season4/S04E10;Der Planet der Eiszeit;Beneath the Surface;4;10;76;0
